YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,200.1000500250072,41.23728530932133,58.0,r,41.10100000000003,60.0,228.0,9.0,207.0,168.5393,0.7170251792562965,167.35813953488332,166.0,0.0,113.0,r,0.2001000500250072,41.23728530932133
l,200.1000500250214,41.60413540103385,59.0,l,41.67499999999999,62.0,225.0,6.0,288.0,166.6667,0.7170251792562965,167.35813953488332,166.0,0.0,114.0,l,0.2001000500250214,41.60413540103385
r,200.1000500250072,41.954310488577626,59.0,r,41.81300000000003,61.0,225.0,8.0,231.0,169.4915,0.7170251792562965,167.35813953488332,166.0,0.0,114.0,r,0.2001000500250072,41.954310488577626
l,200.1000500250143,42.32116058029015,60.0,l,42.39499999999999,63.0,234.0,6.0,260.0,165.5172,0.733700183425043,163.55454545454612,166.0,0.0,114.0,l,0.2001000500250143,42.32116058029015
r,216.7750541937607,42.67133566783392,60.0,r,42.52100000000004,62.0,229.0,9.0,231.0,165.7459,0.733700183425043,163.55454545454612,166.0,0.0,114.0,r,0.2167750541937607,42.67133566783392
l,200.1000500250143,43.05486076371519,61.0,l,43.11999999999998,64.0,232.0,7.0,223.0,168.7764,0.7170251792562965,167.35813953488332,166.0,0.0,114.0,l,0.2001000500250143,43.05486076371519
r,200.1000500250143,43.405035851258965,61.0,r,43.24500000000003,63.0,231.0,8.0,231.0,166.6667,0.7170251792562965,167.35813953488332,166.0,0.0,114.0,r,0.2001000500250143,43.405035851258965
l,200.1000500250143,43.77188594297149,62.0,l,43.83099999999998,65.0,231.0,7.0,205.0,166.6667,0.7003501750875429,171.34285714285733,166.0,0.0,114.0,l,0.2001000500250143,43.77188594297149
r,183.4250458562607,44.12206103051526,62.0,r,43.96500000000003,64.0,225.0,9.0,188.0,166.8985,0.7003501750875429,171.34285714285733,166.0,0.0,114.0,r,0.1834250458562607,44.12206103051526
l,216.7750541937607,44.47223611805903,63.0,l,44.55099999999998,66.0,232.0,7.0,237.0,169.2525,0.7170251792562965,167.35813953488332,166.0,0.0,114.0,l,0.2167750541937607,44.47223611805903
r,216.7750541937607,44.822411205602805,63.0,r,44.684000000000026,65.0,227.0,9.0,177.0,166.6667,0.7170251792562823,167.35813953488665,166.0,0.0,114.0,r,0.2167750541937607,44.822411205602805
l,216.7750541937607,45.189261297315326,64.0,l,45.25999999999997,67.0,233.0,7.0,239.0,167.1309,0.733700183425043,163.55454545454612,166.0,0.0,114.0,l,0.2167750541937607,45.189261297315326
